Team;AgentID;Day;Shift;Experience;CallsHandled;AvgCallDuration;EscalationRate;FCRRate;CSATScore;OvertimeHours;CostPerCall;CostCategory
Team B;Agent_8;Thursday;Evening;3-6 months;50;6.21;0.03;0.68;4.48;0;24.32;Low
Team B;Agent_8;Friday;Morning;3-6 months;42;7.73;0.04;0.77;4.44;2;30.6;High
Team B;Agent_8;Friday;Afternoon;0-3 months;52;7.99;0.19;0.84;4.16;0;26.98;Low
Team B;Agent_8;Friday;Evening;3-6 months;58;8.22;0.03;0.74;4.64;0;27.33;Low
Team B;Agent_9;Monday;Morning;0-3 months;45;8.1;0.27;0.79;3.75;2;31.15;High
Team B;Agent_9;Monday;Afternoon;3-6 months;54;8.27;0.09;0.86;4.3;0;27.4;Low
Team B;Agent_9;Monday;Evening;3-6 months;42;9.14;0.13;0.81;4.58;0;28.71;High
Team B;Agent_9;Tuesday;Morning;6+ months;49;10.13;0.06;0.77;3.9;2;34.2;High
Team B;Agent_9;Tuesday;Afternoon;6+ months;33;9.06;0.12;0.78;3.68;1;30.59;High
Team B;Agent_9;Tuesday;Evening;0-3 months;68;6.25;0.05;0.75;3.96;1;26.38;Low
Team B;Agent_9;Wednesday;Morning;0-3 months;36;9.71;0.07;0.84;4.23;0;29.56;High
Team B;Agent_9;Wednesday;Afternoon;3-6 months;63;7.2;0.1;0.84;3.53;0;25.8;Low
Team B;Agent_9;Wednesday;Evening;3-6 months;48;7.33;0.12;0.78;4.53;0;26;Low
Team B;Agent_9;Thursday;Morning;3-6 months;65;7.05;0.04;0.86;3.81;0;25.58;Low
Team B;Agent_9;Thursday;Afternoon;0-3 months;57;7.69;0.16;0.85;4.52;0;26.54;Low
Team B;Agent_9;Thursday;Evening;3-6 months;43;8.08;0.12;0.78;4.74;0;27.12;Low
Team B;Agent_9;Friday;Morning;3-6 months;39;7.64;0.06;0.89;3.84;0;26.46;Low
Team B;Agent_9;Friday;Afternoon;6+ months;58;5.73;0.08;0.82;4.07;2;27.6;Low
Team B;Agent_9;Friday;Evening;6+ months;55;7.71;0.08;0.71;4.45;1;28.56;High
Team B;Agent_10;Monday;Morning;0-3 months;73;7.12;0.08;0.86;4.35;3;31.68;High
Team B;Agent_10;Monday;Afternoon;0-3 months;73;6.55;0.25;0.9;3.98;0;24.82;Low
Team B;Agent_10;Monday;Evening;6+ months;35;6.55;0.03;0.72;3.54;0;24.82;Low
Team B;Agent_10;Tuesday;Morning;6+ months;50;5.08;0.07;0.88;3.53;1;24.62;Low
Team B;Agent_10;Tuesday;Afternoon;6+ months;44;8.38;0.13;0.81;4.58;1;29.57;High
Team B;Agent_10;Tuesday;Evening;3-6 months;66;6.39;0.09;0.72;4.76;1;26.58;Low
Team B;Agent_10;Wednesday;Morning;3-6 months;70;8.07;0.02;0.86;4.04;0;27.1;Low
Team B;Agent_10;Wednesday;Afternoon;3-6 months;62;6.48;0.13;0.86;3.59;1;26.72;Low
Team B;Agent_10;Wednesday;Evening;3-6 months;35;7.56;0.05;0.81;4.06;0;26.34;Low
Team B;Agent_10;Thursday;Morning;3-6 months;31;9.13;0.06;0.87;3.65;0;28.7;High
Team B;Agent_10;Thursday;Afternoon;6+ months;78;7.24;0.05;0.79;3.71;0;25.86;Low
Team B;Agent_10;Thursday;Evening;6+ months;51;6.53;0.05;0.84;4.23;1;26.8;Low
Team B;Agent_10;Friday;Morning;3-6 months;31;7.96;0.03;0.82;4.68;0;26.94;Low
Team B;Agent_10;Friday;Afternoon;3-6 months;35;6.7;0.07;0.76;4.07;0;25.05;Low
Team B;Agent_10;Friday;Evening;0-3 months;37;5.37;0.12;0.8;4.25;1;25.06;Low
Team C;Agent_1;Monday;Morning;6+ months;76;3.24;0.09;0.77;4.3;0;19.86;Low
Team C;Agent_1;Monday;Afternoon;6+ months;72;7.06;0.15;0.77;3.76;0;25.59;Low
Team C;Agent_1;Monday;Evening;6+ months;77;5.8;0.1;0.62;4.65;2;27.7;High
Team C;Agent_1;Tuesday;Morning;3-6 months;45;4.84;0.15;0.82;3.66;1;24.26;Low
Team C;Agent_1;Tuesday;Afternoon;3-6 months;57;5.81;0.04;0.75;4.23;0;23.72;Low
Team C;Agent_1;Tuesday;Evening;6+ months;63;6.99;0.05;0.69;4.77;0;25.48;Low
Team C;Agent_1;Wednesday;Morning;0-3 months;67;7.81;0.13;0.82;4.57;0;26.72;Low
Team C;Agent_1;Wednesday;Afternoon;3-6 months;63;6.35;0.13;0.88;4.18;0;24.52;Low
Team C;Agent_1;Wednesday;Evening;0-3 months;55;5.76;0.09;0.69;4.09;1;25.64;Low
Team C;Agent_1;Thursday;Morning;3-6 months;77;5.63;0.1;0.86;4.55;2;27.44;Low
Team C;Agent_1;Thursday;Afternoon;0-3 months;62;6.37;0.13;0.85;3.59;0;24.56;Low
Team C;Agent_1;Thursday;Evening;6+ months;30;5.21;0.13;0.67;4.34;1;24.82;Low
Team C;Agent_1;Friday;Morning;3-6 months;67;5.41;0.12;0.81;4.49;2;27.12;Low
Team C;Agent_1;Friday;Afternoon;0-3 months;38;5.81;0.25;0.85;3.84;2;27.72;High
Team C;Agent_1;Friday;Evening;3-6 months;52;5.62;0.07;0.66;4;0;23.43;Low
Team C;Agent_2;Monday;Morning;3-6 months;43;4.86;0.08;0.75;4.05;0;22.29;Low
Team C;Agent_2;Monday;Afternoon;6+ months;51;5.56;0.14;0.86;4.55;0;23.34;Low
Team C;Agent_2;Monday;Evening;6+ months;38;6.75;0.06;0.81;3.87;2;29.12;High
Team C;Agent_2;Tuesday;Morning;0-3 months;67;4.3;0.26;0.76;3.79;1;23.45;Low
Team C;Agent_2;Tuesday;Afternoon;3-6 months;33;6.53;0.13;0.88;3.93;0;24.8;Low
Team C;Agent_2;Tuesday;Evening;6+ months;45;6.73;0.02;0.75;4.79;2;29.1;High
Team C;Agent_2;Wednesday;Morning;3-6 months;34;5.35;0.05;0.78;4.13;1;25.02;Low
Team C;Agent_2;Wednesday;Afternoon;3-6 months;38;6.98;0.13;0.84;4.17;0;25.47;Low
Team C;Agent_2;Wednesday;Evening;3-6 months;41;6.5;0.08;0.63;3.94;0;24.75;Low
Team C;Agent_2;Thursday;Morning;0-3 months;50;7.22;0.23;0.79;4.17;0;25.83;Low
Team C;Agent_2;Thursday;Afternoon;3-6 months;74;7.75;0.15;0.79;3.85;0;26.62;Low
Team C;Agent_2;Thursday;Evening;6+ months;37;5.38;0.05;0.69;4.11;0;23.07;Low
Team C;Agent_2;Friday;Morning;0-3 months;71;6.19;0.29;0.8;4.13;0;24.28;Low
Team C;Agent_2;Friday;Afternoon;3-6 months;74;8.48;0.09;0.88;3.56;2;31.72;High
Team C;Agent_2;Friday;Evening;6+ months;62;5.3;0.06;0.8;4.24;0;22.95;Low
Team C;Agent_3;Monday;Morning;0-3 months;70;5.22;0.2;0.77;3.95;0;22.83;Low
Team C;Agent_3;Monday;Afternoon;6+ months;42;5.81;0.11;0.76;4.09;2;27.72;High
Team C;Agent_3;Monday;Evening;0-3 months;69;4.2;0.28;0.78;4.29;0;21.3;Low
Team C;Agent_3;Tuesday;Morning;6+ months;68;4.42;0.14;0.86;4.62;0;21.63;Low
Team C;Agent_3;Tuesday;Afternoon;6+ months;76;6.14;0.11;0.77;4;0;24.21;Low
Team C;Agent_3;Tuesday;Evening;3-6 months;48;5.39;0.1;0.74;4.67;0;23.08;Low
Team C;Agent_3;Wednesday;Morning;3-6 months;70;6.17;0.11;0.8;4.27;0;24.26;Low
Team C;Agent_3;Wednesday;Afternoon;3-6 months;38;6.44;0.1;0.88;4.44;0;24.66;Low
Team C;Agent_3;Wednesday;Evening;6+ months;67;6.56;0.09;0.71;3.61;0;24.84;Low
Team C;Agent_3;Thursday;Morning;6+ months;78;6.92;0.05;0.82;4.56;0;25.38;Low
Team C;Agent_3;Thursday;Afternoon;3-6 months;72;7.84;0.06;0.8;4.53;0;26.76;Low
Team C;Agent_3;Thursday;Evening;6+ months;32;5.25;0.08;0.74;4.49;0;22.88;Low
Team C;Agent_3;Friday;Morning;6+ months;61;7.3;0.11;0.85;3.99;0;25.95;Low
Team C;Agent_3;Friday;Afternoon;3-6 months;33;4.34;0.03;0.86;4.73;0;21.51;Low
Team C;Agent_3;Friday;Evening;3-6 months;47;4.59;0.03;0.7;3.9;1;23.88;Low
Team C;Agent_4;Monday;Morning;3-6 months;63;7.21;0.13;0.84;4.23;0;25.82;Low
Team C;Agent_4;Monday;Afternoon;0-3 months;79;5.53;0.18;0.89;4;0;23.3;Low
Team C;Agent_4;Monday;Evening;0-3 months;56;5.99;0.09;0.61;4.48;0;23.98;Low
Team C;Agent_4;Tuesday;Morning;0-3 months;66;5.59;0.14;0.82;4.08;3;29.38;High
Team C;Agent_4;Tuesday;Afternoon;3-6 months;58;7.07;0.06;0.89;4.01;0;25.6;Low
Team C;Agent_4;Tuesday;Evening;3-6 months;33;5.98;0.09;0.64;3.82;2;27.97;High
Team C;Agent_4;Wednesday;Morning;3-6 months;63;6.4;0.05;0.78;3.57;0;24.6;Low
Team C;Agent_4;Wednesday;Afternoon;0-3 months;73;6.17;0.09;0.84;4.8;0;24.26;Low
Team C;Agent_4;Wednesday;Evening;6+ months;65;7.26;0.07;0.85;4.64;1;27.89;High
Team C;Agent_4;Thursday;Morning;3-6 months;48;5.55;0.03;0.82;4.21;0;23.32;Low
Team C;Agent_4;Thursday;Afternoon;6+ months;63;4.72;0.11;0.83;4.63;0;22.08;Low
Team C;Agent_4;Thursday;Evening;6+ months;57;6.16;0.08;0.61;4.76;2;28.24;High
Team C;Agent_4;Friday;Morning;3-6 months;73;5.61;0.08;0.88;4.27;0;23.42;Low
Team C;Agent_4;Friday;Afternoon;0-3 months;62;4.19;0.2;0.89;3.97;1;23.28;Low
Team C;Agent_4;Friday;Evening;6+ months;56;7.94;0.07;0.81;4.49;0;26.91;Low
Team C;Agent_5;Monday;Morning;6+ months;77;4.98;0.06;0.79;3.54;3;28.47;High
Team C;Agent_5;Monday;Afternoon;0-3 months;45;5.21;0.24;0.89;3.54;2;26.82;Low
Team C;Agent_5;Monday;Evening;3-6 months;50;7.15;0.06;0.65;4.74;0;25.72;Low
Team C;Agent_5;Tuesday;Morning;6+ months;37;5.47;0.15;0.76;3.5;0;23.2;Low
Team C;Agent_5;Tuesday;Afternoon;3-6 months;66;5.36;0.12;0.87;4.36;1;25.04;Low
Team C;Agent_5;Tuesday;Evening;6+ months;31;6.43;0.03;0.7;4.44;0;24.64;Low
Team C;Agent_5;Wednesday;Morning;3-6 months;60;5.81;0.03;0.87;4.73;0;23.72;Low
Team C;Agent_5;Wednesday;Afternoon;6+ months;67;5.45;0.06;0.76;4.15;1;25.18;Low
Team C;Agent_5;Wednesday;Evening;6+ months;31;5.84;0.06;0.66;3.87;2;27.76;High
Team C;Agent_5;Thursday;Morning;6+ months;56;5.29;0.02;0.84;4.59;0;22.94;Low
Team C;Agent_5;Thursday;Afternoon;0-3 months;42;4.35;0.21;0.77;4.66;0;21.52;Low
Team C;Agent_5;Thursday;Evening;3-6 months;39;7.2;0.13;0.74;4.33;0;25.8;Low
Team C;Agent_5;Friday;Morning;3-6 months;75;6.48;0.09;0.83;3.69;1;26.72;Low
Team C;Agent_5;Friday;Afternoon;0-3 months;60;6.51;0.12;0.77;4.32;0;24.76;Low
Team C;Agent_5;Friday;Evening;6+ months;44;6.71;0.1;0.82;4.26;0;25.06;Low
Team C;Agent_6;Monday;Morning;3-6 months;73;6.93;0.12;0.8;3.63;0;25.4;Low
Team C;Agent_6;Monday;Afternoon;0-3 months;56;6.21;0.28;0.89;4.05;0;24.32;Low
Team C;Agent_6;Monday;Evening;6+ months;66;7.06;0.04;0.61;4.23;2;29.59;High
Team C;Agent_6;Tuesday;Morning;6+ months;39;5.59;0.13;0.78;3.86;0;23.38;Low
Team C;Agent_6;Tuesday;Afternoon;3-6 months;54;5.39;0.06;0.77;4.52;1;25.08;Low
Team C;Agent_6;Tuesday;Evening;0-3 months;66;3.57;0.27;0.72;3.64;1;22.36;Low
Team C;Agent_6;Wednesday;Morning;6+ months;70;5.97;0.03;0.87;4.04;2;27.96;High
Team C;Agent_6;Wednesday;Afternoon;6+ months;45;6.93;0.11;0.85;4.54;1;27.4;Low
Team C;Agent_6;Wednesday;Evening;0-3 months;38;5.67;0.08;0.76;4.46;0;23.5;Low
Team C;Agent_6;Thursday;Morning;3-6 months;50;5.66;0.1;0.76;3.56;1;25.49;Low
Team C;Agent_6;Thursday;Afternoon;6+ months;39;7.96;0.09;0.76;4.39;0;26.94;Low
Team C;Agent_6;Thursday;Evening;6+ months;31;5.78;0.07;0.73;4.27;0;23.67;Low
Team C;Agent_6;Friday;Morning;3-6 months;65;3.36;0.03;0.81;4.49;0;20.04;Low
Team C;Agent_6;Friday;Afternoon;0-3 months;46;6.44;0.08;0.75;4.5;2;28.66;High
Team C;Agent_6;Friday;Evening;0-3 months;35;6.02;0.16;0.68;3.94;1;26.03;Low
Team C;Agent_7;Monday;Morning;0-3 months;41;6.16;0.26;0.75;4.67;1;26.24;Low
Team C;Agent_7;Monday;Afternoon;6+ months;37;6.05;0.05;0.77;4.67;1;26.08;Low
Team C;Agent_7;Monday;Evening;6+ months;63;7.67;0.08;0.61;4.75;2;30.5;High
Team C;Agent_7;Tuesday;Morning;6+ months;61;5.89;0.1;0.85;4.23;1;25.84;Low
Team C;Agent_7;Tuesday;Afternoon;0-3 months;55;5.62;0.21;0.87;4.25;0;23.43;Low
Team C;Agent_7;Tuesday;Evening;6+ months;69;5.68;0.14;0.64;4.34;2;27.52;Low
Team C;Agent_7;Wednesday;Morning;6+ months;67;5.74;0.14;0.86;3.58;0;23.61;Low
Team C;Agent_7;Wednesday;Afternoon;0-3 months;70;4.16;0.16;0.77;4.75;0;21.24;Low
Team C;Agent_7;Wednesday;Evening;0-3 months;50;6.11;0.28;0.79;4.21;0;24.16;Low
Team C;Agent_7;Thursday;Morning;3-6 months;32;6.41;0.04;0.82;3.77;0;24.62;Low
Team C;Agent_7;Thursday;Afternoon;6+ months;77;6.01;0.07;0.85;3.64;1;26.02;Low
Team C;Agent_7;Thursday;Evening;3-6 months;55;6.18;0.09;0.65;4.1;2;28.27;High
Team C;Agent_7;Friday;Morning;0-3 months;67;6.16;0.1;0.87;4.68;2;28.24;High
Team C;Agent_7;Friday;Afternoon;6+ months;45;6.04;0.15;0.86;3.71;0;24.06;Low
Team C;Agent_7;Friday;Evening;6+ months;76;5.76;0.12;0.84;4.49;2;27.64;Low
Team C;Agent_8;Monday;Morning;3-6 months;66;4.45;0.02;0.8;4.7;0;21.68;Low
Team C;Agent_8;Monday;Afternoon;3-6 months;53;5.51;0.09;0.87;3.83;0;23.26;Low
Team C;Agent_8;Monday;Evening;3-6 months;73;6.47;0.11;0.63;3.88;0;24.7;Low
Team C;Agent_8;Tuesday;Morning;6+ months;30;4.66;0.12;0.89;4.74;0;21.99;Low
Team C;Agent_8;Tuesday;Afternoon;3-6 months;47;4.4;0.15;0.81;4.25;0;21.6;Low
Team C;Agent_8;Tuesday;Evening;6+ months;30;6.01;0.05;0.61;3.55;0;24.02;Low
Team C;Agent_8;Wednesday;Morning;6+ months;74;5.05;0.05;0.81;4.43;0;22.58;Low
Team C;Agent_8;Wednesday;Afternoon;3-6 months;41;5.19;0.07;0.88;4.73;2;26.78;Low
Team C;Agent_8;Wednesday;Evening;3-6 months;33;6.96;0.13;0.82;4.21;0;25.44;Low
Team C;Agent_8;Thursday;Morning;0-3 months;77;6.89;0.1;0.76;3.59;2;29.34;High
Team C;Agent_8;Thursday;Afternoon;3-6 months;32;5.58;0.03;0.87;3.56;1;25.37;Low
Team C;Agent_8;Thursday;Evening;6+ months;53;5.05;0.13;0.73;3.87;0;22.58;Low
Team C;Agent_8;Friday;Morning;0-3 months;70;6.42;0.05;0.81;4.18;0;24.63;Low
Team C;Agent_8;Friday;Afternoon;6+ months;36;6.99;0.03;0.78;3.9;1;27.48;Low
Team C;Agent_8;Friday;Evening;3-6 months;70;5.84;0.13;0.71;3.89;0;23.76;Low
Team C;Agent_9;Monday;Morning;6+ months;56;5.38;0.06;0.9;4.03;0;23.07;Low
Team C;Agent_9;Monday;Afternoon;6+ months;50;5.62;0.04;0.81;4.04;1;25.43;Low
Team C;Agent_9;Monday;Evening;0-3 months;63;6.42;0.29;0.61;3.84;1;26.63;Low
Team C;Agent_9;Tuesday;Morning;0-3 months;54;7.4;0.08;0.83;4.51;1;28.1;High
Team C;Agent_9;Tuesday;Afternoon;0-3 months;46;7.08;0.17;0.89;4.4;1;27.62;Low
Team C;Agent_9;Tuesday;Evening;6+ months;46;7;0.02;0.61;3.68;0;25.5;Low
Team C;Agent_9;Wednesday;Morning;3-6 months;32;6.31;0.11;0.82;4.21;0;24.46;Low
Team C;Agent_9;Wednesday;Afternoon;3-6 months;65;5.55;0.12;0.86;4;0;23.32;Low
Team C;Agent_9;Wednesday;Evening;6+ months;69;6.49;0.13;0.62;4.23;0;24.74;Low
Team C;Agent_9;Thursday;Morning;6+ months;62;7.25;0.15;0.76;4.16;1;27.88;High
Team C;Agent_9;Thursday;Afternoon;6+ months;42;6.19;0.11;0.84;3.91;2;28.28;High
Team C;Agent_9;Thursday;Evening;3-6 months;37;6.23;0.05;0.76;4.24;2;28.34;High
Team C;Agent_9;Friday;Morning;6+ months;47;5.34;0.04;0.75;4.01;0;23.01;Low
Team C;Agent_9;Friday;Afternoon;3-6 months;35;5.5;0.06;0.86;4.03;0;23.25;Low
Team C;Agent_9;Friday;Evening;6+ months;79;7.81;0.06;0.61;3.99;2;30.72;High
Team C;Agent_10;Monday;Morning;3-6 months;36;5.34;0.1;0.78;4.04;1;25.01;Low
Team C;Agent_10;Monday;Afternoon;0-3 months;58;6.42;0.28;0.75;4.09;3;30.63;High
Team C;Agent_10;Monday;Evening;0-3 months;34;5.83;0.29;0.74;3.75;0;23.74;Low
Team C;Agent_10;Tuesday;Morning;0-3 months;78;4.5;0.1;0.82;3.85;0;21.75;Low
Team C;Agent_10;Tuesday;Afternoon;3-6 months;51;5.35;0.04;0.84;3.72;2;27.02;Low
Team C;Agent_10;Tuesday;Evening;0-3 months;70;6.2;0.21;0.76;3.85;0;24.3;Low
Team C;Agent_10;Wednesday;Morning;6+ months;44;5.19;0.09;0.82;4.37;0;22.78;Low
Team C;Agent_10;Wednesday;Afternoon;3-6 months;31;5.79;0.1;0.86;4.38;0;23.68;Low
Team C;Agent_10;Wednesday;Evening;0-3 months;33;6.28;0.28;0.74;4.72;0;24.42;Low
Team C;Agent_10;Thursday;Morning;6+ months;75;6.56;0.15;0.77;3.51;0;24.84;Low
Team C;Agent_10;Thursday;Afternoon;0-3 months;50;4.98;0.28;0.82;3.84;0;22.47;Low
Team C;Agent_10;Thursday;Evening;6+ months;55;7.97;0.11;0.65;4.35;2;30.96;High
Team C;Agent_10;Friday;Morning;0-3 months;76;6.54;0.06;0.8;3.52;0;24.81;Low
Team C;Agent_10;Friday;Afternoon;6+ months;40;7.71;0.1;0.85;3.61;3;32.56;High
Team C;Agent_10;Friday;Evening;6+ months;67;5.7;0.07;0.72;3.87;1;25.55;Low
